date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2026-05-07;21:49:39;Executed;"SCALSX5ANYPvn2h";"Netflix";Security;Buy;US64110L1061;4;75,38;-301,52;0,00;0,00;EUR
2026-05-07;13:09:51;Executed;"SCALycPTkpTP46U";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;132,40;-264,80;0,00;0,00;EUR
2026-05-07;13:07:15;Executed;"SCALnHNUSgH8nqY";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;3;132,40;-397,20;0,00;0,00;EUR
2026-05-07;11:41:14;Executed;"SCALWVsfmsPtSPH";"Boerse Stuttgart EUWAX Gold II";Security;Savings plan;DE000EWG2LD7;0,300464;133,127;-39,999870928;0,00;0,00;EUR
2026-05-07;02:00:00;Executed;"UG1EAWB8MQBZSQR6LNNFD6";"Internal Transfer";Cash;Cash Transfer In;;;;300,00;0,00;;EUR
2026-05-07;02:00:00;Executed;"CU5CBP47PTI7SECTJXZPZK";"Internal Transfer";Cash;Cash Transfer In;;;;400,00;0,00;;EUR
2026-05-07;02:00:00;Executed;"UVJVSUODPLFE7SN2BPAWMJ";"Internal Transfer";Cash;Cash Transfer In;;;;300,00;0,00;;EUR
2026-05-06;11:53:32;Executed;"SCALn5QbVFSZfBp";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;3;131,34;-394,02;0,00;0,00;EUR
2026-05-06;02:00:00;Executed;"WDU8VU3JMMF2YX5TU2SVIA";"Internal Transfer";Cash;Cash Transfer In;;;;400,00;0,00;;EUR
2026-05-05;20:05:54;Executed;"SCALJ9MmBW8qEWf";"Microsoft";Security;Buy;US5949181045;1;350,70;-350,70;0,00;0,00;EUR
2026-05-04;15:25:47;Cancelled;"SCAL88fSEwv2JnR";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
2026-05-04;12:49:13;Cancelled;"SCALUCjePhCr65s";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
