ISIN,Symbol,Shares (ramu),Combined Shares,Combined Avg Price,Total Invested
US02079K3059,Alphabet A,8.416783,8.416783,179.9104,"1,514.27"
US0231351067,Amazon.com,0.908150,0.908150,226.0000,205.24
US0382221051,Applied Materials,0.385876,0.385876,155.4899,60.00
US0420682058,ARM HOLDINGS PLC,1.163000,1.163000,60.0843,69.88
NL0010273215,ASML Holding,0.060227,0.060227,664.1455,40.00
US0605051046,Bank of America,2.056930,2.056930,39.4887,81.23
GB0031348658,Barclays Bank,4.739336,4.739336,4.2200,20.00
US0846707026,Berkshire Hathaway B,1.000000,1.000000,429.3000,429.30
FR0000131104,BNP Paribas,1.707132,1.707132,87.5151,149.40
DE000EWG2LD7,Boerse Stuttgart EUWAX Gold II,57.038490,57.038490,131.9151,"7,524.24"
CNE100000296,BYD Co H,36.386140,36.386140,11.5429,420.00
DE000CBK1001,Commerzbank,56.155000,56.155000,13.5384,760.25
DE0005140008,Deutsche Bank,4.483392,4.483392,28.9959,130.00
GB0005405286,HSBC Holdings,145.000000,145.000000,14.6000,"2,117.00"
AU0000185993,Iren,1.447343,1.447343,41.4553,60.00
IE00B4ND3602,iShares Physical Gold ETC,80.205380,80.205380,53.1846,"4,265.69"
US5801351017,McDonald's,3.221185,3.221185,251.1332,808.95
DE0007100000,Mercedes-Benz Group,1.182065,1.182065,50.7586,60.00
US30303M1027,Meta Platforms A,3.093196,3.093196,520.4325,"1,609.80"
US5951121038,Micron Technology,0.139489,0.139489,358.4500,50.00
US5949181045,Microsoft,7.461933,7.461933,351.9396,"2,626.15"
US64110L1061,Netflix,4.000000,4.000000,77.7500,311.00
US6541061031,NIKE B,2.036389,2.036389,54.0172,110.00
VGG6564A1057,Nomad Foods,2.803738,2.803738,10.7000,30.00
DK0062498333,Novo-Nordisk B,10.000000,10.000000,32.8550,328.55
US69608A1088,Palantir Technologies,2.000000,2.000000,120.5000,241.00
US7475251036,Qualcomm,0.665375,0.665375,135.2618,90.00
GB00B24CGK77,Reckitt Benckiser,0.995822,0.995822,60.2517,60.00
JP3164720009,Renesas Electronics,10.285975,10.285975,10.9567,112.70
US79466L3024,Salesforce,0.319652,0.319652,156.4200,50.00
FR0000120578,Sanofi,5.775070,5.775070,81.1349,468.56
FR0000121972,Schneider Electric,0.391627,0.391627,229.8094,90.00
US81762P1021,ServiceNow,20.000000,20.000000,78.4045,"1,568.09"
US78392B1070,SK Hynix GDR,0.084175,0.084175,594.0000,50.00
JP3435000009,Sony Group,24.681359,24.681359,21.6753,534.98
JP3890350006,Sumitomo Mitsui Fin,14.998725,14.998725,29.2001,437.96
US8740391003,Taiwan Semiconductor Manufact. ADR,4.080856,4.080856,268.8160,"1,097.00"
GB00B10RZP78,Unilever,12.694822,12.694822,45.0261,571.60
US91324P1021,UnitedHealth Group,0.520624,0.520624,249.6995,130.00
IE00BMFKG444,Xtrackers Nasdaq 100 (Acc),18.684640,18.684640,50.8798,950.67
